"Survey.Years","Sex","Age.Group","Measure","Percent","Standard.Error","Lower.95..CI.Limit","Upper.95..CI.Limit"
"2007-2008","Male","40-49","Obesity",63.4,4.07,59.6682077882346,68.0395490583964
"2011-2012","Female","70 and over","Hypertension",88.5,6.34,82.7983443040866,94.0938366508344
"2015-2016","Male","12-19","Hypertension",27.4,0.89,25.658374198922,33.4657793140272
"2001-2002","Male","60-69","Hypertension",8.6,1.09,6.34313449114561,12.9653690223582
"2013-2014","Male","2-5","Hypertension",40,7.03,35.1422473991988,43.6085962939542
"2015-2016","Male","6-11","Hypertension",29.7,7.21,22.536560826865,31.2904375449754
"2013-2014","Male","6-11","High Total Cholesterol",40.3,3.28,38.1332878424553,43.4636565465014
"2005-2006","Female","50-59","Hypertension",41.7,3.99,33.9139965560054,44.963552346034
"2011-2012","Male","30-39","High Total Cholesterol",59.5,3.3,51.8315511754481,63.0662432805402
"2013-2014","Female","40-49","High Total Cholesterol",4.4,2.02,-3.18872942230664,6.44635168693494
"2001-2002","Male","30-39","Hypertension",23.3,5.74,16.8690973814344,30.7056751419557
"2009-2010","Male","30-39","High Total Cholesterol",45.4,5.08,43.7602222425397,49.1924459336791
"1999-2000","Female","20-29","Obesity",80.3,4.14,76.0272298700409,87.9024452319834
"2017-2018","Female","20-29","Obesity",27.1,1.96,24.6311621595174,34.9701127193635
"2009-2010","Male","60-69","Obesity",29.1,5.65,24.8007706626318,31.4377417004667
"2007-2008","Male","70 and over","Obesity",88.9,4.14,83.8968178025447,94.0072975748684
"2017-2018","Male","2-5","Obesity",43.4,1.67,37.0836948173586,48.6297087180195
"2015-2016","Female","20-29","Obesity",3.2,4.28,-3.22081709788181,6.23416505607311
"2001-2002","Male","60-69","Hypertension",8.2,3.14,0.768349593318998,14.0614985038294
"2003-2004","Female","6-11","High Total Cholesterol",84.1,6.65,80.6938158723293,90.8839527432807
"2003-2004","Male","60-69","Obesity",44.1,6.59,38.9877424272941,46.1084607115714
"2001-2002","Female","50-59","Obesity",76.4,2.5,73.6305850577541,82.3747211860959
"2017-2018","Female","6-11","Hypertension",75.4,2.6,68.8533706197981,80.7952273615869
"2013-2014","Female","30-39","Obesity",69.9,2.98,64.5593388664769,74.4418662283337
"2013-2014","Male","70 and over","Hypertension",55.5,3.74,50.4689603671432,59.1888303336455
"2001-2002","Female","2-5","High Total Cholesterol",51.6,4.35,48.975943780411,55.7647820003564
"2009-2010","Male","40-49","Obesity",48.7,3.85,41.3095920653315,50.4332907777745
"2011-2012","Female","60-69","High Total Cholesterol",23.8,6.21,15.9332582910545,28.1740643300116
"1999-2000","Female","60-69","High Total Cholesterol",56.6,1.77,48.667896425142,63.0747846857645
"2011-2012","Female","6-11","Obesity",78.3,7.3,76.5792395151919,82.8649562746985
"2013-2014","Female","50-59","High Total Cholesterol",69.5,4.96,67.0473876541946,72.9456007198896
"2009-2010","Male","60-69","High Total Cholesterol",19.3,7.1,13.2854181146948,25.55940691086
"2017-2018","Male","60-69","Hypertension",35.4,4.14,33.1818915485404,37.3335419038543
"1999-2000","Female","60-69","High Total Cholesterol",68.8,6.32,67.1508304216666,73.8801327602239
"2011-2012","Male","30-39","Obesity",10.6,7.3,9.00765720047057,18.4914802405052
"2011-2012","Male","20-29","Obesity",60.1,0.7,56.5814960310468,63.3238402172225
"2003-2004","Male","70 and over","Hypertension",65.3,1.73,59.8053945273394,71.9281193308532
"1999-2000","Male","60-69","Hypertension",77.7,6.3,70.1475882247789,84.3867670239881
"2013-2014","Male","40-49","Obesity",21.3,4.87,18.2646178002004,28.5143838626798
"2017-2018","Female","60-69","Obesity",27,5.92,19.8513727915706,30.0760049817618
"1999-2000","Male","20-29","Hypertension",75.7,5.87,68.5720893089194,80.8369373404887
"1999-2000","Female","12-19","High Total Cholesterol",27.4,2.2,25.3749460604507,34.7810280938633
"2001-2002","Male","30-39","Obesity",76.8,2.17,75.1480626748642,78.3532907004235
"2001-2002","Female","2-5","High Total Cholesterol",56.8,2.5,54.84526790604,59.3627449635649
"2005-2006","Male","6-11","Hypertension",24.7,1.04,19.4381918189349,27.8888841133332
"2017-2018","Male","40-49","High Total Cholesterol",56.9,1.1,51.999409047747,63.4229752975283
"2017-2018","Male","12-19","Hypertension",7.8,4.47,2.01900676877703,9.76206524549052
"2007-2008","Male","6-11","Hypertension",82.6,3.96,79.9930438049138,89.9224877204047
"2015-2016","Female","60-69","High Total Cholesterol",80.1,2.43,78.1224595199106,83.6472274530912
"2003-2004","Female","2-5","High Total Cholesterol",62.7,4.25,56.9259624225553,69.9796755129239
"2011-2012","Female","40-49","Hypertension",86,4.1,84.4013572798576,91.4569466406247
"2011-2012","Male","60-69","High Total Cholesterol",51.5,0.78,48.9432763039367,55.9597615879029
"2001-2002","Male","30-39","High Total Cholesterol",71.1,3.49,65.6504049320007,77.1602335202275
"2001-2002","Female","70 and over","High Total Cholesterol",72.6,0.9,70.751044234517,79.0113621501019
"2007-2008","Male","70 and over","Obesity",26.1,3.21,24.18075844415,31.0307488149498
"2013-2014","Male","6-11","Obesity",28.5,4.48,24.8320131109795,30.1057740205433
"2005-2006","Male","60-69","Hypertension",22.6,1.44,20.227868037438,24.5987084126333
"2005-2006","Male","40-49","Hypertension",78.1,1.57,75.8821634397842,83.9651660527103
"2011-2012","Female","40-49","High Total Cholesterol",66,2.6,62.5862990047317,72.1721074354136
"2017-2018","Male","30-39","Obesity",16.3,3.18,9.20088397578802,20.7671686205547
"2007-2008","Male","6-11","High Total Cholesterol",77.2,1.9,70.9760085626505,80.1524518623948
"2001-2002","Male","60-69","Hypertension",58,6.4,54.1022418050561,64.2169749313034
"2001-2002","Male","20-29","Obesity",51.3,2.67,49.277060796693,52.9141671750229
"2003-2004","Female","20-29","Obesity",6.8,2.85,2.14810223232489,11.8314708471997
"2009-2010","Male","20-29","High Total Cholesterol",27.3,5.28,24.6607008858817,29.3286419759505
"2001-2002","Female","70 and over","Obesity",55,4.35,47.5440650754608,62.3649814875098
"2017-2018","Female","60-69","Hypertension",86.2,1.35,84.2716464159777,92.8059424695559
"2015-2016","Male","20-29","High Total Cholesterol",8.1,5.62,0.30538181415759,12.4096197519917
"2003-2004","Male","2-5","High Total Cholesterol",42.8,3.33,38.89241118317,48.2913412053138
"2009-2010","Female","6-11","High Total Cholesterol",38.5,1.41,33.8872423764551,44.9949006000534
"2003-2004","Female","60-69","Obesity",47.3,6.19,44.5055351957679,50.1981186372694
"2013-2014","Female","40-49","High Total Cholesterol",6.4,6.75,0.801361686177552,10.8757559184218
"1999-2000","Male","50-59","High Total Cholesterol",78.1,7.03,70.5420732543804,79.600609323266
"2001-2002","Male","6-11","High Total Cholesterol",25.7,6.24,18.3191291044233,32.0360750370193
"2007-2008","Female","20-29","High Total Cholesterol",43.1,3.71,37.9667276689084,49.3187548143556
"2007-2008","Male","30-39","High Total Cholesterol",22,6.79,17.7001178624341,24.2092259090859
"2005-2006","Female","12-19","High Total Cholesterol",84.4,2.74,76.5824989930028,90.5464779642411
"2011-2012","Female","20-29","High Total Cholesterol",64.8,2.84,62.3358597763116,71.0315559164854
"2003-2004","Male","12-19","Obesity",37.7,5.4,33.8618043343769,41.975335267419
"2017-2018","Female","6-11","Obesity",27.4,1,20.4404073580867,31.1647280927049
"2011-2012","Female","20-29","High Total Cholesterol",64.2,4.14,57.6718101160834,67.1645231898176
"2017-2018","Male","6-11","Obesity",22.2,5.37,20.2861115867738,27.9478169392562
"2011-2012","Female","2-5","High Total Cholesterol",28.5,5.54,24.1022245291388,30.5017814741004
"2001-2002","Male","20-29","Hypertension",80.3,5.62,76.1796535577858,83.0395519578131
"2001-2002","Male","20-29","Obesity",46.4,7.17,43.0128148526186,49.7369580405997
"2001-2002","Female","40-49","Hypertension",85.9,7.46,82.1653978508897,91.9887858222704
"2003-2004","Male","30-39","High Total Cholesterol",70.5,3.16,62.9403945481172,74.3042418602854
"2013-2014","Female","6-11","High Total Cholesterol",78.1,7.2,74.6462554384721,86.0909784171032
"2015-2016","Female","20-29","High Total Cholesterol",53,4.59,45.579092981061,55.6371967287268
"1999-2000","Male","40-49","Obesity",8.9,2.75,7.38084378812928,16.4988410476129
"2011-2012","Male","6-11","High Total Cholesterol",48.1,1.17,44.6667937167455,50.5427477919962
"2013-2014","Male","30-39","High Total Cholesterol",81.2,1.6,77.8888701807475,88.1375776537927
"1999-2000","Male","12-19","High Total Cholesterol",5.7,1.44,3.58214626431,12.7707084803144
"2015-2016","Female","70 and over","Obesity",12.5,5.63,5.16755345766433,15.7416961316485
"2003-2004","Female","30-39","High Total Cholesterol",57.9,2.42,52.6696565245278,61.3449018669547
"2015-2016","Male","20-29","Obesity",44,7.34,40.4227232100675,49.5778182663489
"2001-2002","Male","12-19","Hypertension",89.1,3.11,81.3554765878012,94.7253658332862
"2005-2006","Female","30-39","High Total Cholesterol",69.9,1.33,66.6583643195685,74.2411181821721
"2013-2014","Female","6-11","High Total Cholesterol",70.3,1.44,63.1829172563273,75.7149531578878
"2005-2006","Male","60-69","Hypertension",39.1,2.02,35.9577036180068,40.753172915685
"2001-2002","Male","70 and over","Hypertension",89.7,6.72,88.0859113098588,95.5530401990283
"2009-2010","Female","60-69","High Total Cholesterol",41.3,7.22,38.5594237297308,45.4331503093243
"2003-2004","Female","60-69","High Total Cholesterol",87.2,1.77,85.5902139990823,90.7246782168979
"2011-2012","Female","12-19","High Total Cholesterol",50.8,7.27,45.6726888211677,54.7426809677388
"2003-2004","Female","6-11","High Total Cholesterol",68.5,2.23,63.2938736673677,74.6589545164024
"2011-2012","Male","20-29","High Total Cholesterol",60.9,4.54,54.6983157488052,65.41788824494
"2011-2012","Female","40-49","High Total Cholesterol",75.2,1.31,68.1497063439339,80.321107705636
"2011-2012","Female","2-5","High Total Cholesterol",60.4,0.87,52.8791142593604,63.8328437151853
"2011-2012","Female","40-49","Obesity",3.5,3.63,-0.840671355603263,10.7569313433487
"2013-2014","Female","20-29","Obesity",6.7,2.56,4.81868645541836,13.0278375765076
"2013-2014","Female","6-11","Obesity",83.5,3.29,80.1892964220606,88.6195936814183
"1999-2000","Male","20-29","Obesity",40.4,6.65,34.650892005628,48.2211283433484
"2007-2008","Male","40-49","High Total Cholesterol",58.2,5.53,50.5549301266903,61.2613492906559
"2015-2016","Male","40-49","High Total Cholesterol",56.3,7.39,51.9458052679663,63.4945803608978
"1999-2000","Female","20-29","Obesity",85.9,0.51,78.0782894065837,93.5626703047659
"2009-2010","Male","30-39","Obesity",65.9,3.96,60.4201313487487,72.2453112274874
"2015-2016","Male","30-39","High Total Cholesterol",21.4,3.03,16.3081198963104,25.4466171874432
"2017-2018","Female","20-29","High Total Cholesterol",35.7,2.35,33.2178350906353,40.5927288465202
"2017-2018","Male","50-59","High Total Cholesterol",60.7,2.5,56.4501327301143,65.9275329675758
"2013-2014","Female","50-59","Hypertension",24,4.84,19.1320239715278,28.9461959411856
"2013-2014","Male","60-69","Obesity",53.2,6.49,47.7063371086726,60.8575321858982
"2011-2012","Female","50-59","High Total Cholesterol",10.5,4.4,8.19185971864499,17.6970585278468
"2011-2012","Male","50-59","High Total Cholesterol",84.7,1.72,80.7967852881877,90.2502527005738
"1999-2000","Male","60-69","High Total Cholesterol",23.3,1.77,16.9556938542053,30.6501109996578
"2017-2018","Female","12-19","High Total Cholesterol",27.8,1.65,25.0622165036155,34.2054780147271
"2015-2016","Male","40-49","High Total Cholesterol",42.3,5.56,39.6818316917168,45.600130104064
"2013-2014","Male","70 and over","Hypertension",43.4,7.22,41.5275469036773,44.9501827778062
"2003-2004","Female","6-11","Obesity",25.9,6.92,20.985324785905,32.787810408487
"2013-2014","Female","60-69","High Total Cholesterol",20.6,3.48,16.9690546395956,22.8126834708033
"2009-2010","Male","6-11","Obesity",66,4.04,64.3914475495694,68.2694883507211
"1999-2000","Female","2-5","Hypertension",39.8,5.98,33.4437987121753,42.3194158152444
"2005-2006","Male","60-69","Obesity",59,5.64,53.4170021188911,61.2572600807762
"2003-2004","Female","20-29","High Total Cholesterol",57.7,3.72,49.8862087157788,63.1369709306629
"2007-2008","Male","70 and over","Obesity",7.7,4.7,0.570939903426916,15.3407541506924
"2011-2012","Male","30-39","Hypertension",44.6,7.2,40.0383370302385,50.8861542195315
"2001-2002","Male","12-19","High Total Cholesterol",57.3,5.24,50.7416330589447,62.1457663642475
"2013-2014","Male","70 and over","Hypertension",31.5,3.39,25.0391224614577,33.5289888213156
"2013-2014","Female","20-29","Hypertension",64.4,3.41,57.3491061873268,69.2375845302362
"2005-2006","Male","2-5","Obesity",81.3,1.22,74.864884871128,87.9361487110844
"2013-2014","Male","70 and over","Hypertension",37.5,6.69,35.4308685604483,44.4354020032333
"2017-2018","Female","40-49","Hypertension",37.2,7.41,31.2555539514171,45.1982131310971
"2009-2010","Male","40-49","High Total Cholesterol",45.6,4.64,41.2869313489879,49.8433129135752
"2001-2002","Male","20-29","High Total Cholesterol",7.6,6.83,2.84738556810189,14.6082614863059
"1999-2000","Female","70 and over","High Total Cholesterol",32,2.65,27.4305971118156,34.7908422305482
"2015-2016","Female","30-39","Obesity",19.7,5.23,14.8354999316391,22.3959374338621
"2003-2004","Female","6-11","Hypertension",36.5,5.65,30.0320647743065,41.6076364294859
"2007-2008","Female","6-11","Obesity",41,3.35,35.2202981644077,43.2509125395445
"2007-2008","Female","6-11","High Total Cholesterol",16.7,6.32,12.3830466212705,18.4844363846816
"2015-2016","Female","60-69","High Total Cholesterol",9.3,4.73,5.09105839168187,12.5031561153708
"2005-2006","Female","30-39","Obesity",60.8,3.79,56.5735196267022,64.368930920097
"2017-2018","Male","70 and over","Hypertension",39.4,1.58,36.9466343340231,47.0400495392736
"2003-2004","Female","12-19","High Total Cholesterol",12.6,0.53,4.90329667706974,16.9452113140374
"2003-2004","Male","40-49","Hypertension",43.3,6.99,40.2290743006859,47.7503073771484
"2009-2010","Male","30-39","High Total Cholesterol",27.1,7.14,19.9947296577971,29.0847170462599
"2017-2018","Male","6-11","Hypertension",11.1,4.02,3.97623435794376,15.0278690257343
"2005-2006","Female","70 and over","Hypertension",18.7,2.09,16.9432092913659,23.9264048616635
"2011-2012","Female","20-29","High Total Cholesterol",48.6,6.54,44.9780538726132,55.6788354763063
"2015-2016","Female","30-39","High Total Cholesterol",19.7,3.04,15.9232911704341,22.7070939919678
"2003-2004","Female","2-5","Hypertension",47.8,3.93,43.6650400950573,55.5222366750939
"2009-2010","Male","2-5","High Total Cholesterol",34,7.13,31.4563588513993,41.1379507522797
"2007-2008","Female","6-11","Hypertension",74.9,4.4,67.2648512195796,77.8520496523473
"2015-2016","Male","50-59","Obesity",30.3,0.7,22.3096287026536,34.3307040296029
"2005-2006","Female","30-39","Hypertension",48.4,6.86,42.3281388007803,53.9005611403612
"2003-2004","Female","50-59","High Total Cholesterol",24.1,1.44,20.5815226638457,26.4946364974836
"2011-2012","Male","30-39","Obesity",31.3,2.58,28.133357524476,34.5640826214338
"2005-2006","Female","20-29","Hypertension",37.8,2.09,30.6155944669852,43.1644681996666
"2007-2008","Female","6-11","Obesity",59.6,1.59,52.1701863786671,62.1451701100683
"2013-2014","Male","30-39","Hypertension",7.9,1.16,2.90074171822052,12.5120649800869
"2011-2012","Male","12-19","High Total Cholesterol",64.4,4.47,59.014586593234,71.4211298650829
"2013-2014","Female","12-19","High Total Cholesterol",50.3,6.56,45.2683457681676,55.1545210001757
"2009-2010","Female","40-49","Obesity",32.5,0.73,26.9946287503699,36.4225839663995
"2013-2014","Female","2-5","Hypertension",67.1,6.78,61.1164068259764,72.4044083991554
"2011-2012","Female","12-19","Obesity",26.2,6.43,19.5520550641697,32.4209900807356
"1999-2000","Female","30-39","Obesity",11.7,5.34,7.31864181840792,15.4540880020242
"2009-2010","Female","6-11","Obesity",35.5,5.11,30.768526469823,38.0471561619779
"2017-2018","Male","60-69","Obesity",9.9,2.81,3.21586087110918,13.8179263563128
"2009-2010","Female","30-39","Hypertension",22.7,1.56,18.0745340895839,28.1032826784533
"2017-2018","Female","12-19","High Total Cholesterol",88.9,2.85,82.7706988773774,95.2198069840437
"2005-2006","Male","60-69","Hypertension",13.3,4.28,7.76169636084233,14.9089749006787
"2015-2016","Male","30-39","Obesity",54.7,2.49,52.9010972882854,62.3626728714909
"2015-2016","Female","12-19","Hypertension",63.2,3.51,59.3216581838671,65.5492384916171
"2017-2018","Female","20-29","High Total Cholesterol",48.3,2.6,44.9199532962637,49.9759635012131
"2005-2006","Female","20-29","High Total Cholesterol",37.9,3.48,34.1781689135591,44.8875341980951
"2007-2008","Female","2-5","High Total Cholesterol",39.7,5.3,36.2476322503528,44.099240285391
"2015-2016","Male","20-29","Obesity",49,0.59,42.1224347273819,52.1351437456906
"2003-2004","Male","50-59","Hypertension",62.9,6.23,59.4084539155941,69.8364603656577
"2003-2004","Male","70 and over","Hypertension",88.6,1.29,82.1311042834073,93.1890773333376
"2001-2002","Male","40-49","Hypertension",47.8,2.77,40.7319278368494,50.0745198354823
"2011-2012","Male","30-39","High Total Cholesterol",45.8,5.08,40.8875097907847,48.0866803944344
"1999-2000","Female","40-49","High Total Cholesterol",28.5,4.88,20.9452749683987,35.7093213577755
"2003-2004","Female","12-19","High Total Cholesterol",16.9,6.31,9.91607135892846,18.7329297716264
"2011-2012","Female","2-5","Hypertension",31.9,0.56,29.2409446157748,35.6896867421223
"2001-2002","Female","50-59","Obesity",28.5,6.76,26.6796099952189,32.6946628201986
"2015-2016","Female","2-5","Hypertension",34.8,4.21,28.7116742556216,41.2429275724106
"2007-2008","Female","6-11","Obesity",44.4,2.79,42.5215206253109,50.4194440025371
"1999-2000","Female","12-19","Hypertension",35.6,1.83,33.3131932594348,43.1432298355736
"2017-2018","Female","70 and over","Obesity",40.1,4.89,35.707701817411,42.6679717555176
"2015-2016","Female","20-29","High Total Cholesterol",22.7,6.55,19.3232143385569,29.5011461853748
"2015-2016","Female","2-5","Hypertension",7.8,5.1,3.56527737325523,12.9019746533129
"2011-2012","Male","50-59","Hypertension",77.7,6.68,72.1873806034448,84.9699607826071
"2001-2002","Female","20-29","Hypertension",51.8,1.07,44.8149495608639,59.4019159887219
"2013-2014","Male","6-11","Hypertension",49.8,0.6,45.5370016403729,51.3885830785846
"2011-2012","Male","12-19","Hypertension",56.7,1.94,52.9833288889378,60.9027521885466
"2009-2010","Male","20-29","Obesity",22.1,6.25,18.9872868051985,24.2593903413741
"2011-2012","Female","20-29","High Total Cholesterol",48.2,2.74,46.2548667932162,52.7208478877321
"2017-2018","Male","70 and over","High Total Cholesterol",65.9,2.5,63.7220784140285,72.076990531385
"2001-2002","Female","6-11","Hypertension",5.5,1.52,0.18261332961265,10.0031368343625
"2001-2002","Male","60-69","High Total Cholesterol",58.4,3.54,54.4455416266341,61.0778353393311
"2007-2008","Male","12-19","High Total Cholesterol",67.4,6.65,64.7254399516154,72.6562698014081
"2011-2012","Male","30-39","High Total Cholesterol",41.7,6.21,36.8139285480604,45.0883615942905
"2017-2018","Female","6-11","Hypertension",72.4,4.3,65.5663755190093,78.6626027211081
"2015-2016","Female","20-29","High Total Cholesterol",60,5.78,53.8653593190247,67.4595561694587
"2011-2012","Male","30-39","High Total Cholesterol",55.9,6.1,53.9290527009638,59.0828002652619
"2009-2010","Male","50-59","Hypertension",18.9,1.94,16.1613287012791,23.9514019436669
"2005-2006","Male","6-11","High Total Cholesterol",67.6,2.42,65.957866040431,74.0723404038232
"2003-2004","Male","6-11","High Total Cholesterol",39.6,4.88,33.4114447545959,44.4674747074256
"2003-2004","Female","30-39","Obesity",12.4,2.11,8.14996480939444,15.3214714959962
"2017-2018","Male","70 and over","Hypertension",16.8,2.74,14.5054106313735,20.9195097640157
"2001-2002","Female","70 and over","Hypertension",71.4,1.66,68.389859216148,76.5402709532995
"2003-2004","Female","2-5","High Total Cholesterol",13.3,6.76,9.89878599783406,15.157715253369
"1999-2000","Male","70 and over","High Total Cholesterol",43.6,5.95,35.7709395849612,50.0791489400668
"1999-2000","Male","6-11","Hypertension",35.2,0.91,29.3204250991577,36.8950971664628
"1999-2000","Male","40-49","Obesity",45.9,4.89,43.2493856587447,48.2524669625331
"2005-2006","Male","6-11","Obesity",52.3,6.06,49.2120055551175,56.4897365424084
"2003-2004","Male","70 and over","Hypertension",86,3.79,81.6606908489484,91.4775211239466
"2001-2002","Female","30-39","Obesity",18.7,6.93,15.7842068821657,24.3509478245862
"2011-2012","Male","70 and over","Obesity",36.6,3.59,31.0560240771389,42.2842947916593
"2001-2002","Female","60-69","High Total Cholesterol",40.5,0.53,35.8726936781313,42.6083596181124
"2001-2002","Male","20-29","High Total Cholesterol",76.9,5.9,70.3997650280129,81.1359497710131
"2011-2012","Male","12-19","Obesity",5.9,5.69,1.05813297382556,7.62958238678984
"2017-2018","Female","30-39","Obesity",4.9,3.58,1.34161023816559,8.45744930077344
"2005-2006","Female","60-69","Obesity",31.5,3.01,24.6376798738493,38.8430804840755
"2005-2006","Male","12-19","Obesity",32.8,2.6,25.2657670955639,35.8550589649938
"2013-2014","Male","2-5","Hypertension",79.5,4.31,75.3497495405609,85.5104930484667
"2015-2016","Female","12-19","Hypertension",52.1,2.39,49.5942510238616,59.401079594763
"2003-2004","Male","6-11","High Total Cholesterol",13.9,3.25,12.110805948358,19.8533497074153
"2015-2016","Female","30-39","High Total Cholesterol",8.4,2.69,1.65581144040916,10.6091648918577
"2003-2004","Male","6-11","Obesity",13.1,5.79,9.9362330540549,19.9329507308081
"2009-2010","Male","6-11","Obesity",75.7,0.86,69.8818993422203,81.7500812344253
"2007-2008","Female","40-49","Obesity",38.9,6.26,35.6827428285964,45.0180222594412
"2001-2002","Male","40-49","High Total Cholesterol",87.3,6.89,84.9055944865802,91.735656715068
"2009-2010","Male","2-5","High Total Cholesterol",64.2,5.56,61.5587064421736,66.6463853256311
"1999-2000","Female","12-19","High Total Cholesterol",26.4,1.51,21.8000605315668,28.6388947304571
"2007-2008","Male","50-59","High Total Cholesterol",80.6,3.7,75.0294584005838,87.9134605530649
"2003-2004","Female","50-59","Obesity",59.4,2.42,51.8869175377535,62.1643641571049
"2003-2004","Male","12-19","Obesity",89.7,2.85,81.7401621668134,91.8547943039332
"2003-2004","Female","6-11","Hypertension",13,1.71,9.82424964453094,15.6334079974331
"2009-2010","Female","20-29","High Total Cholesterol",71.6,3.61,64.9880682864692,75.1547524431022
"2015-2016","Female","30-39","High Total Cholesterol",88.2,5.72,85.0445759969763,94.0821705454029
"2003-2004","Male","2-5","Hypertension",68.2,3.37,63.8499196524965,73.7992746603442
"2001-2002","Female","60-69","High Total Cholesterol",70.5,4.95,63.4288436186034,74.5436109213624
"2007-2008","Female","70 and over","High Total Cholesterol",88.1,4.57,82.0971096197842,93.569187385519
"2007-2008","Female","12-19","High Total Cholesterol",31.4,5.26,27.7134245206602,38.6586399710271
"2011-2012","Male","30-39","Hypertension",36.2,1.93,28.6845287491335,42.3941822300432
"2001-2002","Female","60-69","Obesity",18.5,6.33,14.1619989313185,23.2078241178533
"2013-2014","Male","12-19","Obesity",39.2,5.54,35.2393655399093,45.9626982261427
"2011-2012","Female","2-5","High Total Cholesterol",39.8,1.98,33.0590511664748,43.2888367094099
"2011-2012","Male","2-5","Hypertension",55.2,1.61,48.8457442534156,58.0589177331887
"2013-2014","Male","6-11","Hypertension",38.8,4.3,33.6068826893577,42.2164342774311
"2007-2008","Male","60-69","High Total Cholesterol",9.8,0.98,3.6661004275782,11.9433236915618
"2001-2002","Female","70 and over","Obesity",60,2.98,56.430880318163,62.7325209170813
"2003-2004","Female","12-19","Hypertension",5.9,4.71,1.46721211469267,8.18947192733176
"2015-2016","Female","2-5","Obesity",16.4,1.66,8.83941792135592,20.9898726684973
"2003-2004","Male","6-11","High Total Cholesterol",86.9,5.13,82.0034472568426,93.0616670483491
"2003-2004","Female","12-19","Obesity",47.2,3.81,43.5535765022971,50.0027375042439
"2007-2008","Female","40-49","Obesity",27.6,6.43,21.2720323498594,31.1915066347225
"2011-2012","Male","12-19","Obesity",3.2,2.54,-3.44558899251278,7.81098505777773
"2013-2014","Female","60-69","Obesity",31.1,5.86,26.4180322950939,36.8910692825681
"2017-2018","Female","6-11","Obesity",80,7.08,73.7173901326023,85.7830548320198
"2005-2006","Female","12-19","Hypertension",17,4.61,13.1137644359842,24.2303466161247
"2003-2004","Female","30-39","Hypertension",36.3,7.33,32.6286059575621,38.037767977058
"2011-2012","Female","70 and over","High Total Cholesterol",51.5,5.79,48.2043138700537,54.6306974727195
"2013-2014","Male","2-5","Hypertension",46,7.35,38.0341250494821,49.6451443333644
"1999-2000","Male","70 and over","Hypertension",65.9,1.64,60.4060110453051,72.7458517732797
"2011-2012","Male","12-19","Hypertension",73.7,6.02,69.653685111017,79.2437554796226
"2015-2016","Female","20-29","High Total Cholesterol",38.6,1.39,33.9926069512963,41.7867397386814
"2003-2004","Male","2-5","Hypertension",22.6,2.3,20.8215493391268,27.2744746884797
"2017-2018","Male","2-5","Obesity",47,1.28,43.1922148802551,53.2535881573567
"2009-2010","Female","40-49","Obesity",29.2,5.73,24.9103270278312,31.4346442837734
"2005-2006","Female","50-59","High Total Cholesterol",75.1,4.12,69.8944528936641,79.9383425828069
"2015-2016","Female","50-59","Hypertension",26,6,20.4172914142255,31.7677571267122
"2007-2008","Male","6-11","Obesity",46.1,5.72,43.171681000758,48.8840126171941
"2015-2016","Female","30-39","Hypertension",11.4,6.59,4.40126296735834,16.0649760034634
"2015-2016","Female","20-29","Obesity",28,6.22,25.127491600113,34.8845816545654
"2007-2008","Male","70 and over","High Total Cholesterol",76.5,6.13,70.0533267630963,83.5850064976839
"2009-2010","Male","50-59","Hypertension",44.4,7.02,36.9511233573779,50.8727503760951
"2009-2010","Male","50-59","Obesity",42.5,4.16,39.1335458365502,48.2108828801429
"2009-2010","Female","50-59","Hypertension",20.4,4.9,17.6710933525814,23.1514532381902
"2013-2014","Male","50-59","Obesity",25.6,1.8,17.7096404406708,28.3545686294325
"2005-2006","Female","30-39","High Total Cholesterol",50,3.64,44.4445310271112,54.8477422975702
"2013-2014","Male","70 and over","Obesity",66.1,6.54,58.4000448362436,72.5097369667143
"2011-2012","Male","60-69","Hypertension",19.1,2.28,16.5182331130141,27.0621187421726
"2011-2012","Male","70 and over","Obesity",19.1,6.29,15.6609629302053,22.8868323002476
"2007-2008","Female","12-19","Hypertension",82.9,4.7,78.7427412462188,85.8694341232535
"2013-2014","Male","40-49","High Total Cholesterol",14.6,1.68,12.7759238451486,20.7430638219463
"1999-2000","Female","12-19","Hypertension",3.6,3.82,-2.13712683829945,7.91968694087118
"2011-2012","Male","6-11","Obesity",26.7,6.05,23.7510482999962,34.194041288388
"2017-2018","Male","6-11","Obesity",60.1,3.11,57.5836688706419,67.5778916513314
"2011-2012","Male","40-49","Hypertension",47.2,2.29,41.0135328156641,51.1546131956158
"2007-2008","Male","30-39","Obesity",30.2,2.24,23.9934072534554,32.5625788617646
"1999-2000","Female","40-49","Obesity",19.7,2.74,16.4853270182386,26.1312457697233
"2011-2012","Male","2-5","Hypertension",88,1.6,82.6868273079162,95.9437970549334
"2011-2012","Female","60-69","Obesity",67.7,3.13,61.0902890257305,69.4801719027339
"2003-2004","Female","50-59","Obesity",38.4,1.64,34.4574873071164,41.5398822681513
"2003-2004","Female","70 and over","Hypertension",12.1,7.19,9.58027982958592,13.6247089461191
"2015-2016","Female","50-59","High Total Cholesterol",62.6,7,57.2198094261345,66.0567136449041
"1999-2000","Female","20-29","Hypertension",55.4,3.71,53.2087037517689,57.1381268267054
"2015-2016","Male","6-11","High Total Cholesterol",59.6,4.69,54.6555818942375,64.2500500601251
"2011-2012","Male","2-5","Obesity",68.6,3.52,62.3420219165506,73.6606775067281
